"Refs","Value"
"C1","100ÂµF"
"C2","220uF"
"C3","22uF/25V"
"C4","0"
"C5","10nF"
"C6","100nF"
"C7","100nF"
"C9","220nF"
"D1","1N4004"
"D2","BAT43"
"D3","BAT43"
"D4","BAT43"
"D5","BAT43"
"D6","BAT43"
"D7","BAT43"
"D8","RED-LED"
"D9","GREEN-LED"
"D10","SCHOTTKY"
"D11","BAT43"
"D12","YELLOW-LED"
"J1","DB9-FEMAL"
"L1","22uH"
"P1","CONN_2"
"P2","SUPP28"
"P3","SUPP40"
"Q1","BC237"
"Q2","BC307"
"Q3","BC307"
"R1","10K"
"R2","10K"
"R3","10K"
"R4","10K"
"R5","10K"
"R6","10K"
"R7","10K"
"R8","1K"
"R9","2.2K"
"R10","5,1K"
"R11","22K"
"R12","2k"
"R13","4k"
"R15","6.2K"
"R16","62K"
"R17","22K"
"R18","220"
"R19","2.2K"
"R20","2.2K"
"R21","470"
"RV1","1K"
"U1","24Cxx"
"U2","74HC125"
"U3","7805"
"U4","LT1373"
"U5","PIC_18_PINS"
"U6","PIC_8_PINS"
